,experiment,data_dir,auto_dataset,trans_dataset,num_stacks,d_model,d_ff,num_heads,dropout,autoencoder_dims,l_win,pre_mask,post_mask,batch_size,shuffle,dataloader_num_workers,auto_num_epoch,trans_num_epoch,load_dir,summary_dir,result_dir,checkpoint_dir,best_auto_model,auto_train_time,best_vanilla_model,vanilla_train_time,q_best,precision,recall,F1,inference_time
10,SCADA2_CEN_AUTO_2stacks_128dff_120auto_60trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,120,60,24,36,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_120auto_60trans_0_001lr_64batch/scada2/summary/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_120auto_60trans_0_001lr_64batch/scada2/result/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_120auto_60trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_8.pth,2.0997079491615294,best_vanilla_14.pth,5.0039782683054606,0.1,0.9503858875413451,0.9999107700544303,0.9745195234368206,1.7652969121932984
11,SCADA1_CEN_AUTO_2stacks_128dff_140auto_70trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,140,70,28,42,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_140auto_70trans_0_001lr_64batch/scada1/summary/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_140auto_70trans_0_001lr_64batch/scada1/result/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_140auto_70trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_7.pth,2.6193655172983807,best_vanilla_14.pth,5.8132086833318075,0.1,0.9563233510780424,1.0,0.9776741156323215,1.849165427684784
12,SCADA2_CEN_AUTO_2stacks_128dff_150auto_50trans_0_01lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,150,50,20,30,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_150auto_50trans_0_01lr_64batch/scada2/summary/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_150auto_50trans_0_01lr_64batch/scada2/result/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_150auto_50trans_0_01lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,3.622124660015106,best_vanilla_14.pth,5.462256824970245,0.1,0.9441657866948258,0.9996273349792705,0.971105328657088,1.5604781746864318
13,SCADA1_CEN_AUTO_2stacks_128dff_100auto_25trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,100,25,10,15,64,1,10,10,15,default,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_100auto_25trans_0_001lr_64batch/scada1/summary/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_100auto_25trans_0_001lr_64batch/scada1/result/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_100auto_25trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,2.1058343251546225,best_vanilla_14.pth,4.173429405689239,0.1,0.9240531331786085,0.9899748710488031,0.9558787847829696,1.2436117251714072
14,SCADA1_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,180,90,36,54,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch/scada1/summary/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch/scada1/result/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,3.9953359524408976,best_vanilla_14.pth,7.6613619208335875,0.1,0.963680199097838,1.0,0.9815042179888314,2.1125629345575967
15,SCADA2_CEN_AUTO_3stacks_128dff_180auto_90trans_0_001lr_64batch,scada2,scada2,new_scada1,3,16,128,1,0.1,180,90,36,54,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_3stacks_128dff_180auto_90trans_0_001lr_64batch/scada2/summary/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_3stacks_128dff_180auto_90trans_0_001lr_64batch/scada2/result/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_3stacks_128dff_180auto_90trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,3.986734390258789,best_vanilla_14.pth,9.762127991517385,0.1,0.9633056052242868,1.0,0.9813098915023363,2.131828812758128
16,SCADA2_CEN_AUTO_2stacks_128dff_180auto_90trans_0_01lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,180,90,36,54,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_180auto_90trans_0_01lr_64batch/scada2/summary/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_180auto_90trans_0_01lr_64batch/scada2/result/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_180auto_90trans_0_01lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,3.9852033098538717,best_vanilla_14.pth,7.643195696671804,0.1,0.9627068603838086,1.0,0.9809991291267517,2.092875293890635
17,SCADA2_CEN_AUTO_3stacks_128dff_140auto_70trans_0_001lr_64batch,scada2,scada2,new_scada1,3,16,128,1,0.1,140,70,28,42,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_3stacks_128dff_140auto_70trans_0_001lr_64batch/scada2/summary/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_3stacks_128dff_140auto_70trans_0_001lr_64batch/scada2/result/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_3stacks_128dff_140auto_70trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,2.6266239285469055,best_vanilla_14.pth,7.560799181461334,0.1,0.9553661291979049,0.999656121045392,0.9770094419879639,1.8337555368741354
18,SCADA1_CEN_AUTO_3stacks_128dff_150auto_100trans_0_001lr_64batch,scada1,scada1,new_scada1,3,16,128,1,0.1,150,100,40,60,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_3stacks_128dff_150auto_100trans_0_001lr_64batch/scada1/summary/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_3stacks_128dff_150auto_100trans_0_001lr_64batch/scada1/result/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_3stacks_128dff_150auto_100trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,2.1388618548711142,best_vanilla_14.pth,9.309618544578552,0.1,0.966280634583673,1.0,0.9828511938615179,2.4122079571088153
19,SCADA1_CEN_AUTO_2stacks_128dff_200auto_50trans_0_01lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,200,50,20,30,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_200auto_50trans_0_01lr_64batch/scada1/summary/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_200auto_50trans_0_01lr_64batch/scada1/result/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_200auto_50trans_0_01lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,6.297005899747213,best_vanilla_13.pth,7.195074204603831,0.1,0.9432275959231294,0.9991605260703292,0.9703887397945896,1.5990578174591064
